transaction_id,customer_id,product_id,transaction_date,amount,status
T0001,C001,P001,2024-01-05,$120.00,COMPLETED
T0002,C002,P003,2024-01-07,$45.50,COMPLETED
T0003,C001,P002,2024-01-12,$310.00,COMPLETED
T0004,C003,P001,2024-01-15,$120.00,FAILED
T0005,C004,P004,2024-01-20,$89.99,COMPLETED
T0006,C005,P002,2024-02-01,$310.00,PENDING
T0007,C002,P001,2024-02-03,$120.00,COMPLETED
T0008,C006,P005,2024-02-10,$220.00,COMPLETED
T0009,C007,P003,2024-02-14,$45.50,REFUNDED
T0010,C001,P005,2024-02-18,$220.00,COMPLETED
T0011,C008,P001,2024-03-01,$120.00,COMPLETED
T0012,C009,P004,2024-03-05,$89.99,COMPLETED
T0013,C010,P002,2024-03-12,-$310.00,REFUNDED
T0014,C004,P003,2024-03-20,$45.50,COMPLETED
T0015,C006,P001,2024-03-25,$120.00,COMPLETED
